"","st","State","Electoral.Votes","Obama","Romney","Winner2012","Clinton","Trump","X0","Winner2016","winner.clean","winner.margin","Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007","Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007","Births per 1,000 population 2007","Infant deaths per 1,000 live births 2007","New private housing units authorized by building permits - total 2009 (20,000-place universe)","Private nonfarm establishments 2009","School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009","School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009","Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009","Family households - married couple 2005-2009","Family households - female householder, no husband present 2005-2009","Median household income 2009 /2","Place of birth, foreign-born, percent,  2005-2009","Resident total population estimate, percent change - April 1, 2000 to July 1, 2009","Population below poverty level 2005-2009","Veterans - total 2005-2009","Resident population 65 years and over, percent (July 1 - estimate) 2010","New private housing units authorized by building permits - total 2010 (20,000-place universe)","Civilian labor force 2010","Civilian labor force unemployment rate 2010 /3","Federal Government expenditure - total FY 2010","Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)","totalPop","Population per square mile 2010","Resident population: White alone, percent (April 1 - complete count) 2010","Resident population: Black alone, percent (April 1 - complete count) 2010","Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010","Resident population: Asian alone, percent (April 1 - complete count) 2010","Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010","Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1","Resident population: males per 100 females (July 1 - estimate) 2010","Social security - benefit recipients (Dec.) 2010","Supplemental security income recipients (Dec.) 2010"
"37","OR","Oregon",7,0.542,0.422,"Obama + 12.1%",0.518,0.411,"7.20%","Clinton +10.7%","Clinton","+10.7%",1.97223128553507,13494,13.2,5.8,0.00183734378401461,0.0282009692321266,0.0248512558097286,0.0297626722950275,28.3,0.190952719785627,0.037825946457834,48325,9.5,11.8,0.129580634568792,0.0912592656785016,13.9,0.00179270878087972,0.518013747580966,2.81905282957207e-06,8.86802578076017,62.2,3831074,39.9,83.6,1.8,1.4,3.7,0.3,11.7,98,0.185905049080232,0.0195402124834968
"38","PA","Pennsylvania",20,0.52,0.466,"Obama + 5.4%",0.476,0.489,"3.60%","Trump +1.3%","Trump","+1.3%",1.54502152706985,13323,12,7.6,0.00143870687530265,0.0234941816804553,0.024239711317069,0.0307568369673114,26,0.191628355601734,0.0447256376148122,49501,5.2,2.6,0.115111586577601,0.0826556190773398,15.4,0.0015540396015581,0.499121778684135,6.84911070595516e-07,11.4886976683659,69.6,12702379,283.9,81.9,10.8,0.2,2.7,0,5.7,95.1,0.202931592578052,0.0281992058338048
"39","RI","Rhode Island",4,0.627,0.352,"Obama + 27.5%",0.549,0.404,"4.70%","Clinton +14.6%","Clinton","+14.6%",2.04136553777574,11646,11.7,7.4,0.000913006012918893,0.0272495717612275,0.0327675102867561,0.0417189594581628,29.8,0.179412806975708,0.0486125823819291,53243,12.5,0.5,0.112694013777745,0.077519055794073,14.4,0.000887354439194845,0.5472601744117,1.10206761184799e-05,11.1721258599215,60.7,1052567,1018.1,81.4,5.7,0.6,2.9,0.1,12.4,93.4,0.193488870542208,0.0311704623078626
"40","SC","South Carolina",9,0.441,0.546,"Romney + 10.5%",0.407,0.549,"4.40%","Trump +14.3%","Trump","+14.3%",1.81249800015739,12273,14.2,8.6,0.00335735738852121,0.0223234322747356,0.0209888346084762,0.0289181564953591,23.5,0.177218917257107,0.0539938045957032,42580,4.4,13.7,0.14627065026666,0.0861207896286649,13.7,0.00303132899378298,0.467987384344238,2.4214310484537e-06,10.0701572892425,69.3,4625364,153.9,66.2,27.9,0.4,1.3,0.1,5.1,94.7,0.199925022117178,0.024234633209408
"41","SD","South Dakota",3,0.399,0.579,"Romney + 18.0%",0.321,0.622,"5.70%","Trump +30.1%","Trump","+30.1%",1.99311086000639,15390,15.4,6.4,0.00453339556363458,0.0312989756564887,0.0260581198260827,0.0298152742636763,24.6,0.20026284114078,0.0369390061165836,45048,2.2,7.6,0.127431280552212,0.0882003979464001,14.3,0.00361836448942494,0.545408877643764,5.89550222309563e-06,11.6762755164706,68.1,814180,10.7,85.9,1.3,8.8,0.9,0,2.7,100.1,0.188543074013117,0.0169643076469577
"42","TN","Tennessee",11,0.391,0.595,"Romney + 20.4%",0.35,0.615,"3.50%","Trump +26.5%","Trump","+26.5%",1.67453248882582,12563,14,8.3,0.00236444244146606,0.0209421369485692,0.0202330405815851,0.0273834107692829,22.4,0.188950702832682,0.0495128901901245,41715,4.1,10.7,0.152406712463787,0.0800498888688416,13.4,0.00259608058801422,0.481665683123743,1.52849661327696e-06,10.8516231609783,68.2,6346105,153.9,77.6,16.7,0.3,1.4,0.1,4.6,95.1,0.197278015412603,0.0274949752643551
"43","TX","Texas",38,0.414,0.572,"Romney + 15.8%",0.434,0.526,"4.00%","Trump +9.2%","Trump","+9.2%",1.67244596372298,13061,17.1,6.3,0.00335804796719389,0.0206409393689805,0.0231620602936638,0.0285485776197238,25.4,0.169035043600737,0.044859806468426,48286,15.8,18.8,0.15479996648315,0.0644677205650731,10.3,0.00351795690698649,0.482645187355335,3.26101294777237e-07,8.97673056488976,63.7,25145561,96.3,70.4,11.8,0.7,3.8,0.1,37.6,98.4,0.136821047659267,0.0245358614190393
"44","UT","Utah",6,0.247,0.728,"Romney + 48.1%",0.283,0.469,"24.80%","Trump +18.6%","Trump","+18.6%",1.44020825757946,13730,20.7,5.1,0.00361158297107152,0.0251327388802356,0.0393087990274559,0.037852877380933,28.7,0.1870653084336,0.0273441188761472,55183,7.9,24.7,0.0983919374358919,0.0547830318555222,9,0.00331815542253024,0.494972837147711,2.78593356814773e-06,8.5188746999242,70.4,2763885,33.6,86.1,1.1,1.2,2,0.9,13,100.9,0.117275501694173,0.0101690193332935
"45","VA","Virginia",13,0.512,0.473,"Obama + 3.9%",0.492,0.469,"3.80%","Clinton +2.3%","Clinton","+2.3%",1.91731495868529,13687,14.1,7.8,0.00268115681192807,0.024249146109298,0.0259271813207909,0.0327024390877968,33.4,0.187196288875024,0.0436780342116209,59372,10.1,11.4,0.0940437124048122,0.0935311530124144,12.2,0.00262366417098611,0.52309816843444,8.62389614129391e-07,17.0081888268302,67.2,8001024,202.6,68.6,19.4,0.4,5.5,0.1,7.9,96.3,0.160582320462981,0.0185602492880911
"46","VT","Vermont",3,0.666,0.31,"Obama + 35.6%",0.614,0.328,"5.80%","Clinton +28.7%","Clinton","+28.7%",2.18561673280159,15005,10.5,5.1,0.00218460992647118,0.0344663367111952,0.0306372764450468,0.0341403232327752,32.9,0.199066386891701,0.0386533725614911,51219,3.7,2.1,0.105073824473704,0.0860164189337122,14.6,0.0021079008727253,0.576540453638167,9.90825277550936e-06,11.8336883790578,70.7,625741,67.9,95.3,1,0.4,1.3,0,1.5,97.1,0.205546703827942,0.0243950771964759
"47","WA","Washington",12,0.562,0.413,"Obama + 14.9%",0.566,0.381,"5.30%","Clinton +18.6%","Clinton","+18.6%",1.84241925841768,14380,13.8,4.8,0.00252968976316596,0.0263625467318211,0.0235241369669896,0.0287178007715026,30.8,0.187796934808924,0.0370234990051364,56479,12.1,13.1,0.11140092853935,0.0915839596463104,12.3,0.00307693909174457,0.525184771002924,1.42760694411811e-06,10.4746928414434,63.9,6724540,101.2,77.3,3.6,1.5,7.2,0.6,11.2,99.3,0.162076067656672,0.0204543359099656
"48","WI","Wisconsin",10,0.528,0.459,"Obama + 6.9%",0.463,0.489,"4.70%","Trump +2.6%","Trump","+2.6%",1.626047787,12904,13,6.5,0.00189555592364743,0.0247690076958164,0.0264864376314624,0.0338952830198632,25.5,0.20207030578236,0.0383050002233169,49994,4.4,5.4,0.106482766090861,0.0778171425074723,13.7,0.00191032648928624,0.538534119830786,1.45947255716824e-06,9.64765483860871,68.1,5686986,105,86.2,6.3,1,2.3,0,5.9,98.5,0.186654407097186,0.0189152918611018
"49","WV","West Virginia",5,0.355,0.623,"Romney + 26.8%",0.266,0.69,"4.40%","Trump +42.4%","Trump","+42.4%",1.37790948054878,11340,12.1,7.5,0.00120615609116921,0.0210416223689877,0.0226476718219271,0.0274415351587755,17.1,0.207622906496189,0.0436094234519918,37423,1.3,0.6,0.167495415527519,0.0923262568578204,16,0.0012925028359509,0.422203201953163,4.91097110945853e-06,11.608556746541,73.4,1852994,77.1,93.9,3.4,0.2,0.7,0,1.2,97.3,0.239564186392401,0.0433714302366872
"50","WY","Wyoming",3,0.278,0.686,"Romney + 40.8%",0.229,0.706,"6.50%","Trump +47.7%","Trump","+47.7%",2.60635243938356,17114,15.1,7.3,0.0040700748368599,0.0361232448467601,0.024681260268334,0.0307952436544801,23.2,0.19558182198834,0.0300589397934091,54400,2.8,10.2,0.087027567926249,0.0928363844109392,12.4,0.00407717174154493,0.52121264810353,1.24195831987878e-05,11.0190942220551,69.2,563626,5.8,90.7,0.8,2.4,0.8,0.1,8.9,104.1,0.161488291881496,0.0112432712472455
